"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"5",2,4.17424549269807,4.46765389144892,1.94887438769466,"Diesel",9.00713926258061,15.3510726729995,1
"11",1,6.36003222341997,3.72304490954076,1.59255940548732,"Petrol",8.10642533632255,15.5478812970123,2
"22",2,5.1457062619078,4.31873209506728,2.22247610368141,"Petrol",7.20571141006449,15.3510726729995,2
"23",2,4.84212477152976,4.16981029868565,2.8523928018755,"Petrol",7.20571141006449,14.6950439262901,2
"30",2,5.44928775228584,4.46765389144892,0.561377063883995,"Petrol",7.20571141006449,14.6950439262901,2
"37",2,4.84212477152976,3.72304490954076,1.26550284915238,"Petrol",6.30499748380643,14.4326324276063,2
"40",2,4.47782698307611,4.02088850230402,1.39205313406762,"Petrol",6.30499748380643,14.4326324276063,2
"42",2,5.08498996383219,4.02088850230402,2.23072718225788,"Petrol",6.30499748380643,14.4326324276063,2
"46",1,5.76804831718279,3.4252013167775,4.25208957315199,"Diesel",9.00713926258061,16.6631301664182,1
"48",2,4.79658754797305,3.27627952039587,3.79893831292751,"Petrol",6.30499748380643,14.5638381769482,2
"49",1,5.44928775228584,3.27627952039587,3.65553153006156,"Diesel",9.00713926258061,16.4663215424054,1
"52",2,4.78140847345415,4.46765389144892,2.88969982586851,"Petrol",6.30499748380643,14.5638381769482,2
"59",2,5.75286924266388,3.4252013167775,2.00982100490984,"Petrol",7.20571141006449,15.4822784223413,2
"61",2,4.53854328115172,3.27627952039587,1.89319226233196,"Petrol",6.30499748380643,14.5638381769482,2
"64",2,5.44928775228584,4.46765389144892,1.69633063911782,"Petrol",7.20571141006449,14.826249675632,2
"76",2,5.1457062619078,3.4252013167775,1.41736319105066,"Petrol",7.20571141006449,14.6294410516191,2
"78",2,5.60107849747486,4.02088850230402,1.18901585694961,"Petrol",7.20571141006449,14.6294410516191,2
"79",2,5.12900927993701,4.31873209506728,1.1427490727846,"Petrol",7.20571141006449,14.6294410516191,2
"86",2,5.29749700709682,4.16981029868565,0.432143912928554,"Petrol",7.20571141006449,14.826249675632,2
"87",2,4.52336420663282,4.46765389144892,0.354340797762666,"Petrol",6.30499748380643,14.4326324276063,2
"90",2,6.66361371379801,2.82951413125098,2.53125879887459,"Diesel",9.00713926258061,16.5975272917473,1
"92",2,6.75468816091142,2.97843592763261,1.89825427372857,"Diesel",9.00713926258061,16.5319244170763,1
"95",2,5.73769016814498,2.97843592763261,1.61225062982013,"Petrol",7.20571141006449,14.6950439262901,2
"101",2,5.76501250227901,2.97843592763261,1.17312114116426,"Petrol",7.20571141006449,14.6950439262901,2
"105",2,5.9046599878529,1.63813976019794,0.740825367893803,"Petrol",7.20571141006449,15.1542640489866,2
"109",2,5.44928775228584,2.97843592763261,0.363806759074326,"Petrol",7.20571141006449,14.4982353022773,2
"112",1,9.49451111157324,0.595687185526522,0.0759301709491428,"Diesel",9.00713926258061,19.4184509025976,1
"113",1,7.57435818493213,1.19137437105304,0.670868370392659,"Diesel",9.00713926258061,17.3191589131276,1
"1",85.7142857142857
