"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"2",1,13750,23,72937,"Diesel",2000,1165,1
"12",2,19950,22,43610,"Petrol",1800,1185,2
"13",2,19600,25,32189,"Petrol",1800,1185,2
"28",2,15750,29,41415,"Petrol",1600,1120,2
"30",2,17950,30,11090,"Petrol",1600,1120,2
"31",2,12950,29,9750,"Petrol",1400,1100,2
"32",2,15750,22,35199,"Petrol",1400,1100,2
"35",2,15500,22,41000,"Petrol",1400,1100,2
"41",2,13950,22,49059,"Petrol",1400,1100,2
"42",2,16750,27,44068,"Petrol",1400,1100,2
"45",1,16950,22,100250,"Diesel",2000,1255,1
"48",1,15800,22,75048,"Petrol",1400,1110,2
"52",2,15750,30,57086,"Petrol",1400,1110,2
"53",2,20500,26,56000,"Petrol",1600,1180,2
"62",2,16500,27,37177,"Petrol",1600,1130,2
"74",2,15750,23,28227,"Petrol",1400,1110,2
"75",2,19950,28,28000,"Petrol",1600,1130,2
"87",2,14900,30,7000,"Petrol",1400,1100,2
"88",2,17950,20,66966,"Diesel",2000,1245,1
"91",2,16450,20,48110,"Petrol",1400,1100,2
"97",2,15950,19,29435,"Petrol",1400,1100,2
"1",90.4761904761905
