"","Age","Age_correct","Price","KM","FuelType","CC","Weight","Fueltype_num"
"2",23,23,-1.30021726064652,1.95236008874237,"Diesel",1.63065249209759,0.160508366694895,1
"4",25,26,-0.935919472192874,0.690046306769854,"Diesel",1.63065249209759,0.160508366694895,1
"6",23,32,-1.54308245294896,1.34810778832909,"Diesel",1.63065249209759,0.226111241365833,1
"7",24,27,-0.343935565955693,3.04955105895748,"Diesel",1.63065249209759,1.2101543614299,1
"12",25,22,0.581987979697333,0.467824006458696,"Petrol",0.729938565839532,0.422919865378646,2
"16",23,28,1.20433003497232,-0.791148847992057,"Petrol",0.729938565839532,0.422919865378646,2
"19",23,24,-0.389472789512399,-0.445717190287423,"Petrol",-0.170775360418529,-1.15154912672386,2
"24",26,28,-0.328756491436791,-0.108739091615128,"Petrol",-0.170775360418529,-0.429917505343546,2
"27",25,27,-0.163304579180758,0.00895267335604362,"Petrol",-0.170775360418529,-0.429917505343546,2
"31",27,29,-1.54308245294896,-1.24617305243329,"Petrol",-1.07148928667659,-0.692329004027297,2
"38",25,23,-0.935919472192874,-1.23351802394176,"Petrol",-1.07148928667659,-0.692329004027297,2
"43",25,22,-1.23950096257092,0.637452008359081,"Petrol",-1.07148928667659,-0.692329004027297,2
"48",28,22,-0.677875205371539,2.0592191493248,"Petrol",-1.07148928667659,-0.561123254685422,2
"54",26,27,1.18915096045342,0.784503439430588,"Petrol",0.729938565839532,0.554125614720522,2
"60",22,30,-0.617462488786308,0.231934275376693,"Petrol",-0.170775360418529,-0.29871175600167,2
"67",23,28,0.278406489319292,-0.170849971451526,"Petrol",-0.170775360418529,-0.29871175600167,2
"87",26,30,-0.951098546711776,-1.38537836584005,"Petrol",-1.07148928667659,-0.692329004027297,2
"90",21,19,1.18915096045342,0.791539635271875,"Diesel",1.63065249209759,1.47256586011365,1
"91",26,20,-0.480547236625812,0.695614519306125,"Petrol",-1.07148928667659,-0.692329004027297,2
"99",27,11,0.217690191243684,-0.499526371433382,"Petrol",-0.170775360418529,-0.429917505343546,2
"100",27,18,-0.17696574624777,-0.529797199585107,"Petrol",-1.07148928667659,-0.692329004027297,2
"102",23,19,-0.54126353470142,-0.767812975453687,"Petrol",-1.07148928667659,-0.692329004027297,2
"104",19,11,0.141794818649173,-0.923571066127362,"Petrol",-0.170775360418529,-0.62672612935636,2
"108",27,17,-0.17696574624777,-1.23351802394176,"Petrol",-1.07148928667659,-0.692329004027297,2
"120",20,17,1.28022540756683,1.1614714281361,"Diesel",1.63065249209759,1.60377160945553,1
"127",21,20,-0.632337981814832,0.0826049391767121,"Petrol",-0.170775360418529,-1.02034337738199,2
"128",22,20,-0.46536816210691,0.0319848252106169,"Petrol",-1.07148928667659,-0.561123254685422,2
"129",29,17,-0.0251750010587496,-0.031796518386663,"Petrol",-1.07148928667659,-0.233108881330732,2
"131",20,20,-0.54126353470142,-0.0881367052309269,"Petrol",-1.07148928667659,-0.561123254685422,2
"136",22,19,-0.46536816210691,-0.33141697295198,"Petrol",-1.07148928667659,-0.561123254685422,2
"145",23,15,0.278406489319292,-0.713649453509965,"Petrol",-0.170775360418529,-0.29871175600167,2
"146",24,16,-0.480547236625812,-0.722001772314371,"Petrol",-1.07148928667659,-0.561123254685422,2
"147",18,20,0.748957799405256,-0.727316884280811,"Petrol",-0.170775360418529,0.160508366694895,2
"1",0.183782561018488
