"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"3",2,13950,24,41711,"Diesel",2000,1165,1
"7",1,16900,27,94612,"Diesel",2000,1245,1
"19",2,16750,24,25563,"Petrol",1600,1065,2
"20",1,16950,30,64359,"Petrol",1600,1105,2
"22",2,16950,29,43905,"Petrol",1600,1170,2
"25",2,16250,29,25813,"Petrol",1600,1120,2
"37",2,15950,25,25000,"Petrol",1400,1100,2
"40",2,14750,27,27500,"Petrol",1400,1100,2
"45",1,16950,22,100250,"Diesel",2000,1255,1
"52",2,15750,30,57086,"Petrol",1400,1110,2
"56",2,13250,32,45725,"Petrol",1600,1075,2
"61",2,14950,22,37400,"Petrol",1400,1110,2
"62",2,16500,27,37177,"Petrol",1600,1130,2
"63",2,18750,31,36544,"Petrol",1600,1130,2
"67",2,18950,28,30993,"Petrol",1600,1130,2
"69",2,22250,22,30000,"Diesel",2000,1275,1
"75",2,19950,28,28000,"Petrol",1600,1130,2
"76",2,16950,23,28000,"Petrol",1600,1115,2
"81",2,18950,25,20019,"Petrol",1600,1180,2
"86",2,17450,28,8537,"Petrol",1600,1130,2
"91",2,16450,20,48110,"Petrol",1400,1100,2
"97",2,15950,19,29435,"Petrol",1400,1100,2
"100",2,17450,18,23902,"Petrol",1400,1100,2
"101",2,18990,20,23175,"Petrol",1600,1120,2
"102",2,16250,19,19200,"Petrol",1400,1100,2
"109",2,17950,20,7187,"Petrol",1600,1105,2
"112",1,31275,4,1500,"Diesel",2000,1480,1
"122",2,19950,19,51099,"Diesel",2000,1255,1
"123",2,16350,14,40010,"Petrol",1600,1115,2
"149",2,19450,19,18328,"Petrol",1600,1130,2
"150",2,20950,14,17896,"Petrol",1600,1150,2
"1",87.0967741935484
